PlayerName,Runs,BallsFaced,Sixes,Matches_Batting,Fours,StrikeRate,Wickets,Economy,Overs,Matches_Bowling,PerformanceScore
B Kumar,306.0,326.0,3.0,65.0,30.0,93.86503067484662,181.0,7.563682864450128,651.6666666666666,176.0,4540.3
B Laughlin,5.0,13.0,0.0,4.0,0.0,38.46153846153847,10.0,10.071428571428571,28.0,9.0,250.25
B Lee,124.0,97.0,8.0,19.0,8.0,127.83505154639174,25.0,7.508571428571428,145.83333333333334,38.0,631.2
B Sai Sudharsan,1034.0,743.0,32.0,25.0,95.0,139.16554508748317,0.0,0.0,0.0,0.0,51.7
B Stanlake,5.0,2.0,0.0,1.0,1.0,250.0,7.0,8.333333333333334,24.0,6.0,175.25
B Sumanth,35.0,37.0,0.0,4.0,3.0,94.5945945945946,0.0,0.0,0.0,0.0,1.75
BA Bhatt,6.0,7.0,1.0,2.0,0.0,85.71428571428571,12.0,8.047297297297296,49.333333333333336,15.0,300.3
BA Stokes,935.0,698.0,32.0,43.0,81.0,133.9541547277937,28.0,8.638606676342526,114.83333333333333,38.0,746.75
BAW Mendis,3.0,6.0,0.0,3.0,0.0,50.0,8.0,7.450819672131148,40.666666666666664,10.0,200.15
BB McCullum,2882.0,2190.0,130.0,109.0,293.0,131.59817351598173,0.0,0.0,0.0,0.0,144.1
BB Samantray,125.0,113.0,2.0,8.0,13.0,110.61946902654867,0.0,0.0,0.0,0.0,6.25
BB Sran,10.0,14.0,0.0,7.0,0.0,71.42857142857143,19.0,9.403726708074535,80.5,24.0,475.5
BCJ Cutting,238.0,141.0,19.0,17.0,15.0,168.79432624113474,10.0,9.160142348754448,46.833333333333336,17.0,261.9
BE Hendricks,1.0,3.0,0.0,2.0,0.0,33.33333333333333,9.0,9.4,25.0,7.0,225.05
BJ Haddin,18.0,11.0,1.0,1.0,2.0,163.63636363636365,0.0,0.0,0.0,0.0,0.9
BJ Hodge,1400.0,1118.0,43.0,63.0,122.0,125.22361359570662,17.0,7.769230769230769,39.0,20.0,495.0
BJ Rohrer,193.0,141.0,5.0,8.0,21.0,136.8794326241135,0.0,12.0,1.0,1.0,9.65
BMAJ Mendis,23.0,27.0,0.0,3.0,0.0,85.18518518518519,1.0,7.2,5.0,2.0,26.15
BR Dunk,40.0,35.0,0.0,3.0,7.0,114.28571428571428,0.0,0.0,0.0,0.0,2.0
BR Sharath,2.0,5.0,0.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,0.1
BW Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.725806451612903,62.0,17.0,550.0
Basil Thampi,32.0,35.0,1.0,7.0,1.0,91.42857142857143,22.0,9.742802303262957,86.83333333333333,25.0,551.6
Bipul Sharma,187.0,123.0,9.0,17.0,11.0,152.03252032520325,17.0,8.056338028169014,71.0,28.0,434.35
C Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0
C Green,707.0,460.0,32.0,28.0,62.0,153.69565217391303,17.0,9.075170842824601,73.16666666666667,29.0,460.35
C Madan,15.0,19.0,0.0,1.0,3.0,78.94736842105263,0.0,0.0,0.0,0.0,0.75
C Munro,177.0,141.0,8.0,11.0,19.0,125.53191489361701,0.0,7.5,2.0,2.0,8.85
C Nanda,0.0,1.0,0.0,1.0,0.0,0.0,2.0,7.125,8.0,3.0,50.0
C Sakariya,20.0,31.0,0.0,7.0,3.0,64.51612903225806,20.0,8.43661971830986,71.0,19.0,501.0
C de Grandhomme,303.0,225.0,18.0,21.0,18.0,134.66666666666666,6.0,8.86111111111111,36.0,19.0,165.15
CA Ingram,205.0,180.0,5.0,15.0,22.0,113.88888888888889,0.0,0.0,0.0,0.0,10.25
CA Lynn,1329.0,945.0,66.0,42.0,132.0,140.63492063492063,0.0,0.0,0.0,0.0,66.45
CA Pujara,390.0,391.0,4.0,22.0,50.0,99.74424552429667,0.0,0.0,0.0,0.0,19.5
CH Gayle,4997.0,3346.0,359.0,141.0,408.0,149.34249850567844,18.0,7.8953068592057765,92.33333333333333,38.0,699.85
CH Morris,618.0,398.0,35.0,49.0,41.0,155.27638190954772,96.0,8.026651216685979,287.6666666666667,81.0,2430.9
CJ Anderson,538.0,423.0,31.0,29.0,40.0,127.18676122931443,11.0,10.464646464646465,49.5,22.0,301.9
CJ Dala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.333333333333334,3.0,1.0,0.0
CJ Ferguson,98.0,117.0,0.0,8.0,9.0,83.76068376068376,0.0,0.0,0.0,0.0,4.9
CJ Green,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470588235294118,2.8333333333333335,1.0,0.0
CJ Jordan,81.0,77.0,3.0,12.0,3.0,105.1948051948052,30.0,9.623145400593472,112.33333333333333,34.0,754.05
CJ McKay,8.0,15.0,0.0,1.0,0.0,53.333333333333336,1.0,8.571428571428571,7.0,2.0,25.4
CK Kapugedera,16.0,23.0,0.0,3.0,0.0,69.56521739130434,0.0,17.294117647058822,2.8333333333333335,3.0,0.8
CK Langeveldt,8.0,9.0,1.0,2.0,0.0,88.88888888888889,13.0,7.1923076923076925,26.0,7.0,325.4
CL White,971.0,760.0,38.0,45.0,76.0,127.76315789473685,1.0,12.285714285714286,7.0,6.0,73.55000000000001
CM Gautam,169.0,150.0,6.0,13.0,17.0,112.66666666666667,0.0,0.0,0.0,0.0,8.450000000000001
CR Brathwaite,181.0,111.0,16.0,14.0,10.0,163.06306306306305,13.0,8.952755905511811,42.333333333333336,16.0,334.05
CR Woakes,78.0,77.0,2.0,12.0,7.0,101.29870129870129,30.0,8.972727272727273,73.33333333333333,21.0,753.9
CRD Fernando,4.0,3.0,0.0,2.0,0.0,133.33333333333331,17.0,7.641025641025641,39.0,10.0,425.2
CV Varun,25.0,46.0,0.0,10.0,2.0,54.347826086956516,83.0,7.547169811320755,265.0,70.0,2076.25
D Brevis,230.0,172.0,16.0,10.0,17.0,133.72093023255815,1.0,16.0,0.5,1.0,36.5
D Ferreira,8.0,11.0,0.0,2.0,0.0,72.72727272727273,0.0,0.0,0.0,0.0,0.4
D Jansen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.25,4.0,1.0,25.0
D Kalyankrishna,3.0,8.0,0.0,1.0,0.0,37.5,2.0,10.875,8.0,3.0,50.15
D Padikkal,1559.0,1266.0,42.0,64.0,170.0,123.1437598736177,0.0,0.0,0.0,0.0,77.95
D Pretorius,44.0,28.0,3.0,5.0,3.0,157.14285714285714,6.0,9.52,25.0,7.0,152.2
D Salunkhe,33.0,24.0,0.0,3.0,5.0,137.5,1.0,9.957446808510639,7.833333333333333,5.0,26.65
D Wiese,148.0,101.0,7.0,11.0,12.0,146.53465346534654,16.0,8.91891891891892,49.333333333333336,15.0,407.4
D du Preez,10.0,13.0,0.0,1.0,0.0,76.92307692307693,4.0,8.0,7.0,2.0,100.5
