PlayerName,SoldPrice,Role,TeamName,Nationality,BasePrice,CappedStatus,AuctionYear,LastName_x,Runs,BallsFaced,Sixes,Matches_Batting,Fours,StrikeRate,Wickets,Economy,Overs,Matches_Bowling,PerformanceScore,LastName_y
Anmolpreet Singh,8000000,Batsman,Mumbai Indians,Unknown,,Unknown,2019,singh,139.0,115.0,3.0,9.0,19.0,120.8695652173913,0.0,0.0,0.0,0.0,6.95,singh
Shashank Singh,3000000,All-Rounder,Rajasthan Royals,Unknown,,Unknown,2019,singh,423.0,262.0,25.0,19.0,33.0,161.45038167938932,1.0,8.333333333333334,3.0,3.0,46.150000000000006,singh
Lalit Yadav,2000000,All-Rounder,Delhi Capitals,Unknown,,Unknown,2020,yadav,305.0,290.0,7.0,21.0,27.0,105.17241379310344,10.0,8.854166666666666,48.0,19.0,265.25,yadav
Ravi Bishnoi,20000000,Bowler,Punjab Kings,Unknown,,Unknown,2020,bishnoi,32.0,50.0,0.0,14.0,2.0,64.0,63.0,7.807228915662651,235.16666666666666,65.0,1576.6,bishnoi
M Siddharth,2000000,Bowler,Kolkata Knight Riders,Unknown,,Unknown,2020,siddharth,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.636363636363637,9.166666666666666,3.0,25.0,siddharth
Mohsin Khan,2000000,Bowler,Mumbai Indians,Unknown,,Unknown,2020,khan,25.0,24.0,1.0,5.0,2.0,104.16666666666667,27.0,8.506172839506172,81.0,23.0,676.25,khan
Kartik Tyagi,13000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2020,tyagi,13.0,16.0,0.0,6.0,1.0,81.25,15.0,10.13744075829384,70.33333333333333,20.0,375.65,tyagi
Anuj Rawat,8000000,Wicket Keeper,Rajasthan Royals,Unknown,,Unknown,2020,rawat,318.0,267.0,14.0,21.0,26.0,119.10112359550563,0.0,0.0,0.0,0.0,15.9,rawat
Akash Singh,2000000,Bowler,Rajasthan Royals,Unknown,,Unknown,2020,singh,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.869565217391305,23.0,7.0,125.0,singh
Virat Singh,19000000,Batsman,Sunrisers Hyderabad,Unknown,,Unknown,2020,singh,15.0,26.0,0.0,2.0,1.0,57.692307692307686,0.0,0.0,0.0,0.0,0.75,singh
Abdul Samad,2000000,All-Rounder,Sunrisers Hyderabad,Unknown,,Unknown,2020,samad,579.0,397.0,36.0,39.0,37.0,145.84382871536522,2.0,12.555555555555555,9.0,5.0,78.95,samad
Vishnu Vinod,2000000,Wicket Keeper,Delhi Capitals,Unknown,,Unknown,2021,vinod,56.0,57.0,3.0,6.0,3.0,98.24561403508771,0.0,0.0,0.0,0.0,2.8000000000000003,vinod
M Siddharth,2000000,Bowler,Delhi Capitals,Unknown,,Unknown,2021,siddharth,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.636363636363637,9.166666666666666,3.0,25.0,siddharth
Shakib Al Hasan,32000000,All-Rounder,Kolkata Knight Riders,Unknown,,Unknown,2021,hasan,795.0,639.0,21.0,52.0,73.0,124.4131455399061,63.0,7.435309973045822,247.33333333333334,70.0,1614.75,hasan
Harbhajan Singh,20000000,Bowler,Kolkata Knight Riders,Unknown,,Unknown,2021,singh,833.0,604.0,42.0,88.0,79.0,137.91390728476821,150.0,7.078454332552693,569.3333333333334,160.0,3791.65,singh
Arjun Tendulkar,2000000,All-Rounder,Mumbai Indians,Unknown,,Unknown,2021,tendulkar,13.0,9.0,1.0,1.0,0.0,144.44444444444443,3.0,9.36986301369863,12.166666666666666,5.0,75.65,tendulkar
